Sample	MappedReadCount
mapped_read_counts	0
RNA10_P5_M06_WK1_concoct.113	4217
RNA10_P5_M06_WK1_concoct.20	593
RNA10_P5_M06_WK1_concoct.35	2343
RNA10_P5_M06_WK1_concoct.37_sub	4592
RNA10_P5_M06_WK1_concoct.38	14716
RNA10_P5_M06_WK1_concoct.41	1170
RNA10_P5_M06_WK1_concoct.48_sub	1886
RNA10_P5_M06_WK1_concoct.56	12878
RNA10_P5_M06_WK1_concoct.57	392
RNA10_P5_M06_WK1_concoct.58	4693
RNA10_P5_M06_WK1_concoct.60	4575
RNA10_P5_M06_WK1_concoct.68	27126
RNA10_P5_M06_WK1_concoct.69	12165
RNA10_P5_M06_WK1_concoct.74	2390
RNA10_P5_M06_WK1_concoct.77_sub	495
RNA10_P5_M06_WK1_concoct.78	4825
RNA10_P5_M06_WK1_concoct.7	11112
RNA10_P5_M06_WK1_concoct.82_sub	459
RNA10_P5_M06_WK1_concoct.83	2675
RNA10_P5_M06_WK1_concoct.92_sub	429
RNA10_P5_M06_WK1_concoct.95	9048
RNA10_P5_M06_WK1_maxbin.10	786
RNA10_P5_M06_WK1_maxbin.11	3146
RNA10_P5_M06_WK1_maxbin.12_sub	1146
RNA10_P5_M06_WK1_maxbin.15_sub	4059
RNA10_P5_M06_WK1_maxbin.17	2097
RNA10_P5_M06_WK1_maxbin.21	467
RNA10_P5_M06_WK1_maxbin.41	22688
RNA10_P5_M06_WK1_maxbin.54	464
RNA10_P5_M06_WK1_metabat2.12	760
RNA10_P5_M06_WK1_metabat2.16_sub	3635
RNA10_P5_M06_WK1_metabat2.47	483
RNA10_P5_M06_WK1_metabat2.4_sub	17518
RNA10_P5_M06_WK1_metabat2.65	2202
RNA10_P5_M06_WK1_metabat2.80	538
RNA10_P5_M06_WK1_metabat2.91	1047
RNA11_P18_M06_WK1_concoct.113	308003
RNA11_P18_M06_WK1_concoct.20	84589
RNA11_P18_M06_WK1_concoct.35	221313
RNA11_P18_M06_WK1_concoct.37_sub	303469
RNA11_P18_M06_WK1_concoct.38	1316980
RNA11_P18_M06_WK1_concoct.41	128512
RNA11_P18_M06_WK1_concoct.48_sub	196263
RNA11_P18_M06_WK1_concoct.56	1037668
RNA11_P18_M06_WK1_concoct.57	52739
RNA11_P18_M06_WK1_concoct.58	363255
RNA11_P18_M06_WK1_concoct.60	370329
RNA11_P18_M06_WK1_concoct.68	1415143
RNA11_P18_M06_WK1_concoct.69	789730
RNA11_P18_M06_WK1_concoct.74	242661
RNA11_P18_M06_WK1_concoct.77_sub	62939
RNA11_P18_M06_WK1_concoct.78	393277
RNA11_P18_M06_WK1_concoct.7	899024
RNA11_P18_M06_WK1_concoct.82_sub	62705
RNA11_P18_M06_WK1_concoct.83	214001
RNA11_P18_M06_WK1_concoct.92_sub	57607
RNA11_P18_M06_WK1_concoct.95	730744
RNA11_P18_M06_WK1_maxbin.10	68952
RNA11_P18_M06_WK1_maxbin.11	247012
RNA11_P18_M06_WK1_maxbin.12_sub	74810
RNA11_P18_M06_WK1_maxbin.15_sub	322064
RNA11_P18_M06_WK1_maxbin.17	173649
RNA11_P18_M06_WK1_maxbin.21	42674
RNA11_P18_M06_WK1_maxbin.41	2139603
RNA11_P18_M06_WK1_maxbin.54	52299
RNA11_P18_M06_WK1_metabat2.12	54650
RNA11_P18_M06_WK1_metabat2.16_sub	305051
RNA11_P18_M06_WK1_metabat2.47	67746
RNA11_P18_M06_WK1_metabat2.4_sub	1662405
RNA11_P18_M06_WK1_metabat2.65	176663
RNA11_P18_M06_WK1_metabat2.80	62979
RNA11_P18_M06_WK1_metabat2.91	91002
RNA12_P45_M06_WK1_concoct.113	234303
RNA12_P45_M06_WK1_concoct.20	66367
RNA12_P45_M06_WK1_concoct.35	179107
RNA12_P45_M06_WK1_concoct.37_sub	233186
RNA12_P45_M06_WK1_concoct.38	996983
RNA12_P45_M06_WK1_concoct.41	294726
RNA12_P45_M06_WK1_concoct.48_sub	201500
RNA12_P45_M06_WK1_concoct.56	757076
RNA12_P45_M06_WK1_concoct.57	36588
RNA12_P45_M06_WK1_concoct.58	270321
RNA12_P45_M06_WK1_concoct.60	276142
RNA12_P45_M06_WK1_concoct.68	993548
RNA12_P45_M06_WK1_concoct.69	565118
RNA12_P45_M06_WK1_concoct.74	177640
RNA12_P45_M06_WK1_concoct.77_sub	67452
RNA12_P45_M06_WK1_concoct.78	286094
RNA12_P45_M06_WK1_concoct.7	662022
RNA12_P45_M06_WK1_concoct.82_sub	61684
RNA12_P45_M06_WK1_concoct.83	154720
RNA12_P45_M06_WK1_concoct.92_sub	58745
RNA12_P45_M06_WK1_concoct.95	538011
RNA12_P45_M06_WK1_maxbin.10	50640
RNA12_P45_M06_WK1_maxbin.11	191653
RNA12_P45_M06_WK1_maxbin.12_sub	57647
RNA12_P45_M06_WK1_maxbin.15_sub	238149
RNA12_P45_M06_WK1_maxbin.17	135354
RNA12_P45_M06_WK1_maxbin.21	33964
RNA12_P45_M06_WK1_maxbin.41	1527277
RNA12_P45_M06_WK1_maxbin.54	96151
RNA12_P45_M06_WK1_metabat2.12	49077
RNA12_P45_M06_WK1_metabat2.16_sub	215456
RNA12_P45_M06_WK1_metabat2.47	52282
RNA12_P45_M06_WK1_metabat2.4_sub	1249094
RNA12_P45_M06_WK1_metabat2.65	132537
RNA12_P45_M06_WK1_metabat2.80	53154
RNA12_P45_M06_WK1_metabat2.91	66547
RNA13_P5_M06_WK4_concoct.113	270845
RNA13_P5_M06_WK4_concoct.20	234816
RNA13_P5_M06_WK4_concoct.35	171564
RNA13_P5_M06_WK4_concoct.37_sub	320448
RNA13_P5_M06_WK4_concoct.38	946371
RNA13_P5_M06_WK4_concoct.41	104220
RNA13_P5_M06_WK4_concoct.48_sub	194205
RNA13_P5_M06_WK4_concoct.56	767248
RNA13_P5_M06_WK4_concoct.57	21692
RNA13_P5_M06_WK4_concoct.58	332104
RNA13_P5_M06_WK4_concoct.60	282054
RNA13_P5_M06_WK4_concoct.68	1569199
RNA13_P5_M06_WK4_concoct.69	1194491
RNA13_P5_M06_WK4_concoct.74	162706
RNA13_P5_M06_WK4_concoct.77_sub	52705
RNA13_P5_M06_WK4_concoct.78	295289
RNA13_P5_M06_WK4_concoct.7	665800
RNA13_P5_M06_WK4_concoct.82_sub	139050
RNA13_P5_M06_WK4_concoct.83	206780
