Sample	MappedReadCount
DNA10_P5_M06_WK1_concoct.113_modified_drep_counts	118976
DNA10_P5_M06_WK1_concoct.20_modified_drep_counts	111448
DNA10_P5_M06_WK1_concoct.35_modified_drep_counts	78524
DNA10_P5_M06_WK1_concoct.37_sub_modified_drep_counts	130417
DNA10_P5_M06_WK1_concoct.38_modified_drep_counts	557263
DNA10_P5_M06_WK1_concoct.41_modified_drep_counts	108776
DNA10_P5_M06_WK1_concoct.48_sub_modified_drep_counts	225866
DNA10_P5_M06_WK1_concoct.56_modified_drep_counts	483928
DNA10_P5_M06_WK1_concoct.57_modified_drep_counts	15944
DNA10_P5_M06_WK1_concoct.58_modified_drep_counts	177183
DNA10_P5_M06_WK1_concoct.60_modified_drep_counts	183109
DNA10_P5_M06_WK1_concoct.68_modified_drep_counts	1086912
DNA10_P5_M06_WK1_concoct.69_modified_drep_counts	352012
DNA10_P5_M06_WK1_concoct.74_modified_drep_counts	105708
DNA10_P5_M06_WK1_concoct.77_sub_modified_drep_counts	16658
DNA10_P5_M06_WK1_concoct.78_modified_drep_counts	191064
DNA10_P5_M06_WK1_concoct.7_modified_drep_counts	419200
DNA10_P5_M06_WK1_concoct.82_sub_modified_drep_counts	24514
DNA10_P5_M06_WK1_concoct.83_modified_drep_counts	99653
DNA10_P5_M06_WK1_concoct.92_sub_modified_drep_counts	25703
DNA10_P5_M06_WK1_concoct.95_modified_drep_counts	372100
DNA10_P5_M06_WK1_maxbin.10_modified_drep_counts	29898
DNA10_P5_M06_WK1_maxbin.11_modified_drep_counts	195927
DNA10_P5_M06_WK1_maxbin.12_sub_modified_drep_counts	36885
DNA10_P5_M06_WK1_maxbin.15_sub_modified_drep_counts	214758
DNA10_P5_M06_WK1_maxbin.17_modified_drep_counts	96575
DNA10_P5_M06_WK1_maxbin.21_modified_drep_counts	15016
DNA10_P5_M06_WK1_maxbin.41_modified_drep_counts	1686187
DNA10_P5_M06_WK1_maxbin.54_modified_drep_counts	13218
DNA10_P5_M06_WK1_metabat2.12_modified_drep_counts	3426
DNA10_P5_M06_WK1_metabat2.16_sub_modified_drep_counts	176482
DNA10_P5_M06_WK1_metabat2.47_modified_drep_counts	57946
DNA10_P5_M06_WK1_metabat2.4_sub_modified_drep_counts	856097
DNA10_P5_M06_WK1_metabat2.65_modified_drep_counts	68043
DNA10_P5_M06_WK1_metabat2.80_modified_drep_counts	18581
DNA10_P5_M06_WK1_metabat2.91_modified_drep_counts	37854
DNA11_P18_M06_WK1_concoct.113_modified_drep_counts	180843
DNA11_P18_M06_WK1_concoct.20_modified_drep_counts	205308
DNA11_P18_M06_WK1_concoct.35_modified_drep_counts	135050
DNA11_P18_M06_WK1_concoct.37_sub_modified_drep_counts	159724
DNA11_P18_M06_WK1_concoct.38_modified_drep_counts	953864
DNA11_P18_M06_WK1_concoct.41_modified_drep_counts	223163
DNA11_P18_M06_WK1_concoct.48_sub_modified_drep_counts	343487
DNA11_P18_M06_WK1_concoct.56_modified_drep_counts	784596
DNA11_P18_M06_WK1_concoct.57_modified_drep_counts	19531
DNA11_P18_M06_WK1_concoct.58_modified_drep_counts	258004
DNA11_P18_M06_WK1_concoct.60_modified_drep_counts	266330
DNA11_P18_M06_WK1_concoct.68_modified_drep_counts	1362924
DNA11_P18_M06_WK1_concoct.69_modified_drep_counts	491343
DNA11_P18_M06_WK1_concoct.74_modified_drep_counts	182741
DNA11_P18_M06_WK1_concoct.77_sub_modified_drep_counts	28741
DNA11_P18_M06_WK1_concoct.78_modified_drep_counts	289446
DNA11_P18_M06_WK1_concoct.7_modified_drep_counts	664057
DNA11_P18_M06_WK1_concoct.82_sub_modified_drep_counts	48817
DNA11_P18_M06_WK1_concoct.83_modified_drep_counts	147991
DNA11_P18_M06_WK1_concoct.92_sub_modified_drep_counts	36283
DNA11_P18_M06_WK1_concoct.95_modified_drep_counts	777958
DNA11_P18_M06_WK1_maxbin.10_modified_drep_counts	41174
DNA11_P18_M06_WK1_maxbin.11_modified_drep_counts	273376
DNA11_P18_M06_WK1_maxbin.12_sub_modified_drep_counts	38419
DNA11_P18_M06_WK1_maxbin.15_sub_modified_drep_counts	296506
DNA11_P18_M06_WK1_maxbin.17_modified_drep_counts	137169
DNA11_P18_M06_WK1_maxbin.21_modified_drep_counts	24100
DNA11_P18_M06_WK1_maxbin.41_modified_drep_counts	3161399
DNA11_P18_M06_WK1_maxbin.54_modified_drep_counts	40067
DNA11_P18_M06_WK1_metabat2.12_modified_drep_counts	6109
DNA11_P18_M06_WK1_metabat2.16_sub_modified_drep_counts	234435
DNA11_P18_M06_WK1_metabat2.47_modified_drep_counts	117261
DNA11_P18_M06_WK1_metabat2.4_sub_modified_drep_counts	1654330
DNA11_P18_M06_WK1_metabat2.65_modified_drep_counts	101366
DNA11_P18_M06_WK1_metabat2.80_modified_drep_counts	74384
DNA11_P18_M06_WK1_metabat2.91_modified_drep_counts	57891
DNA12_P45_M06_WK1_concoct.113_modified_drep_counts	97070
DNA12_P45_M06_WK1_concoct.20_modified_drep_counts	68378
DNA12_P45_M06_WK1_concoct.35_modified_drep_counts	60910
DNA12_P45_M06_WK1_concoct.37_sub_modified_drep_counts	98771
DNA12_P45_M06_WK1_concoct.38_modified_drep_counts	422265
DNA12_P45_M06_WK1_concoct.41_modified_drep_counts	311423
DNA12_P45_M06_WK1_concoct.48_sub_modified_drep_counts	200929
DNA12_P45_M06_WK1_concoct.56_modified_drep_counts	388738
DNA12_P45_M06_WK1_concoct.57_modified_drep_counts	30481
DNA12_P45_M06_WK1_concoct.58_modified_drep_counts	160318
DNA12_P45_M06_WK1_concoct.60_modified_drep_counts	171537
DNA12_P45_M06_WK1_concoct.68_modified_drep_counts	414578
DNA12_P45_M06_WK1_concoct.69_modified_drep_counts	209156
DNA12_P45_M06_WK1_concoct.74_modified_drep_counts	98545
DNA12_P45_M06_WK1_concoct.77_sub_modified_drep_counts	52111
DNA12_P45_M06_WK1_concoct.78_modified_drep_counts	182179
DNA12_P45_M06_WK1_concoct.7_modified_drep_counts	319187
DNA12_P45_M06_WK1_concoct.82_sub_modified_drep_counts	25441
DNA12_P45_M06_WK1_concoct.83_modified_drep_counts	76398
DNA12_P45_M06_WK1_concoct.92_sub_modified_drep_counts	48109
DNA12_P45_M06_WK1_concoct.95_modified_drep_counts	375687
DNA12_P45_M06_WK1_maxbin.10_modified_drep_counts	18559
DNA12_P45_M06_WK1_maxbin.11_modified_drep_counts	138456
DNA12_P45_M06_WK1_maxbin.12_sub_modified_drep_counts	19344
DNA12_P45_M06_WK1_maxbin.15_sub_modified_drep_counts	177976
DNA12_P45_M06_WK1_maxbin.17_modified_drep_counts	80402
DNA12_P45_M06_WK1_maxbin.21_modified_drep_counts	14173
DNA12_P45_M06_WK1_maxbin.41_modified_drep_counts	1093216
